1078,225,1149,301
766,227,843,301
987,714,1103,767
1167,1027,1214,1044
922,826,970,842
1060,686,1092,705
883,219,941,304
1059,680,1089,692
982,576,1044,616
1054,673,1074,683
657,222,1168,299
1108,972,1208,987
1131,1000,1202,1015
1067,999,1137,1018
660,225,782,298
1059,629,1076,646
1060,645,1078,660
1051,712,1122,732
751,369,803,405
893,1015,947,1054
1133,719,1154,733
715,312,1101,363
1065,1023,1213,1043
1053,662,1078,673
756,363,1059,431
652,1004,719,1022
1150,955,1212,973
978,1006,1043,1036
